exact filename,filename,|V|,|E|,size [kB],type,origin,description
exact_001,PetersenGraph.gr,10,15,0.1,named,github.com/freetdi/named-graphs,Petersen graph
exact_002,soc-tribes.gr,16,58,0.3,social,networkrepository.com,"Tribes is social network of tribes of the Gahuku–Gama alliance structure of the Eastern Central Highlands of New Guinea, from Kenneth Read (1954). The dataset contains a list of all of links, where a link represents signed friendships between tribes."
exact_003,MAPK_red1_19062013.gr,17,62,0.3,biology,ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This network contains the most crucial components of the Mitogen-Activated Protein Kinase (MAPK) network in bladder cancer cells. Reference: Grieco, L., Calzone, L., Bernard-Pierrot, Isabelle, Radvanyi, Fran\c cois, Kahn-Perl\`es, Brigitte, & Thieffry, D. (2013). Integrative modelling of the influence of mapk network on cancer cell fate decision. PLOS Computational Biology, 9(10), 1003286. http://dx.doi.org/10.1371/journal.pcbi.1003286"
exact_004,VEGF_Pathway_12Jun2013_0.gr,18,18,0.1,biology,ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This network contains genes involved in the Drosophila VEGF signalling pathway. Reference: Mbodj, A., Junion, G., Brun, C., Furlong, E. E. M., & Thieffry, D. (2013). Logical modelling of drosophila signalling pathways. Molecular BioSystems, 9(9), 2248–2258. http://dx.doi.org/10.1039/C3MB70187E"
exact_005,waxman_30.gr,20,21,0.1,generated,Python networkx package,A Waxman graph (a random geometric graph) generated using waxman_graph function from Python’s networkx package
exact_006,contiki_mac_mac_call_sent_callback.gr,20,24,0.1,computer science,github.com/freetdi/CFGs,A control-flow graph of a C function
exact_007,FlowerSnark.gr,20,30,0.2,named,github.com/freetdi/named-graphs,"A flower snark J_5, see https://en.wikipedia.org/wiki/Flower_snark"
exact_008,planted_rand_tree_20+20e.gr,20,39,0.2,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
exact_009,Gortatowo_Poland.gr,21,25,0.2,infrastracture,Open street maps,Gortatowo (Poland): a road network downloaded from open street maps using osmnx Python package
exact_010,mammalia-vampire-bats-foodsharing.gr,21,72,0.6,social,networkrepository.com,an animal social network
exact_011,FGF_Pathway_12Jun2013.gr,23,24,0.1,biology,ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This network contains the nine key signalling pathways detected in Drosophila and recurrently used in metazoan development. Reference: Mbodj, A., Junion, G., Brun, C., Furlong, E. E. M., & Thieffry, D. (2013). Logical modelling of drosophila signalling pathways. Molecular BioSystems, 9(9), 2248–2258. http://dx.doi.org/10.1039/C3MB70187E"
exact_012,Riga_Latvia.gr,24,28,0.2,infrastracture,Open street maps,Riga (Latvia): a road network downloaded from open street maps using osmnx Python package
exact_013,ENZYMES_g172.gr,25,46,0.4,biology,networkrepository.com,"ENZYMES is a dataset of protein tertiary structures obtained from (Borgwardt et al., 2005)  consisting of 600 enzymes from the BRENDA enzyme database (Schomburg et al., 2004). Refernces: K. M. Borgwardt, C. S. Ong, S. Schoenauer, S. V. N. Vishwanathan, A. J. Smola, and H. P. Kriegel. Protein function prediction via graph kernels. Bioinformatics, 21(Suppl 1):i47–i56, Jun 2005. I. Schomburg, A. Chang, C. Ebeling, M. Gremse, C. Heldt, G. Huhn, and D. Schomburg. Brenda, the enzyme database: updates and major new developments. Nucleic Acids Research, 32D:431–433, 2006"
exact_014,planted_weighted_cycle_7_4+14v+14e.gr,25,52,0.3,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
exact_015,Wg_Pathway_11Jun2013.gr,26,30,0.2,biology,ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This network contains genes involved in the Drosophila Wg signalling pathway. Reference: Mbodj, A., Junion, G., Brun, C., Furlong, E. E. M., & Thieffry, D. (2013). Logical modelling of drosophila signalling pathways. Molecular BioSystems, 9(9), 2248–2258. http://dx.doi.org/10.1039/C3MB70187E"
exact_016,ENZYMES_g391.gr,26,51,0.5,biology,networkrepository.com,"ENZYMES is a dataset of protein tertiary structures obtained from (Borgwardt et al., 2005)  consisting of 600 enzymes from the BRENDA enzyme database (Schomburg et al., 2004). Refernces: K. M. Borgwardt, C. S. Ong, S. Schoenauer, S. V. N. Vishwanathan, A. J. Smola, and H. P. Kriegel. Protein function prediction via graph kernels. Bioinformatics, 21(Suppl 1):i47–i56, Jun 2005. I. Schomburg, A. Chang, C. Ebeling, M. Gremse, C. Heldt, G. Huhn, and D. Schomburg. Brenda, the enzyme database: updates and major new developments. Nucleic Acids Research, 32D:431–433, 2011"
exact_017,ModelT2DM_0.gr,26,64,0.3,biology,ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This is a network of the signaling pathways that control S-phase entry and a specific type of senescence called geroconversion. Reference: Verlingue, L., Dugourd, Aur\'elien, Stoll, G., Barillot, E., Calzone, L., & Londo\~no-Vallejo, Arturo (2016). A comprehensive approach to the molecular determinants of lifespan using a boolean model of geroconversion. Aging Cell, 15(6), 1018–1026. http://dx.doi.org/10.1111/acel.12504"
exact_018,core_engine_budding_yeast_CC.gr,27,87,0.4,biology,ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This network contains the main documented interactions in budding yeast between core regulators of the cell cycle (Cdk/cyclins, APC, Cdk inhibitors). Reference: Faur\'e, Adrien, Naldi, Aur\'elien, Lopez, F., Chaouiya, C., Ciliberto, A., & Thieffry, D. (2009). Modular logical modelling of the budding yeast cell cycle. Molecular BioSystems, 5(12), 1787–1796. http://dx.doi.org/10.1039/B910101M"
exact_019,ap_boundary.gr,28,57,0.3,biology,ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This network contains the genes of the hedgehog signalling pathway of Drosophila melanogaster. Reference: Gonz\'alez, Aitor, Chaouiya, C., & Thieffry, D. (2008). Logical modelling of the role of the hh pathway in the patterning of the drosophila wing disc. Bioinformatics, 24(16), 234–240. http://dx.doi.org/10.1093/bioinformatics/btn266"
exact_020,JohnsonGraph_8_2.gr,28,168,0.9,named,github.com/freetdi/named-graphs,"Johnson J(8,2) graph, see https://en.wikipedia.org/wiki/Johnson_graph"
exact_021,fuzix_pathconf__pathconf.gr,29,38,0.2,computer science,github.com/freetdi/CFGs,A control-flow graph of a C function
exact_022,myb05169.kgml.gr-5.gr,29,47,0.3,biology,www.genome.jp/kegg/,"This is a graph derived from a biological pathway map. The nodes are genes (also representing their associated proteins), enzymes, or chemical compounds, and there is an edge between two nodes if they influence each other (such as a gene modifying the expression of another gene) or take part in a common chemical reaction. This graph is a connected part of the map ""myb05160 Hepatitis C - Myotis brandtii (Brandt's bat)""."
exact_023,Bierzyn_Poland.gr,30,38,0.3,infrastracture,Open street maps,Bierzyn (Poland): a road network downloaded from open street maps using osmnx Python package
exact_024,random-cubic_30.gr,30,45,0.3,generated,Python networkx package,A random cubic graph generated using random_regular_graph function from Python’s networkx package
exact_025,ENZYMES_g378.gr,30,51,0.5,biology,networkrepository.com,"ENZYMES is a dataset of protein tertiary structures obtained from (Borgwardt et al., 2005)  consisting of 600 enzymes from the BRENDA enzyme database (Schomburg et al., 2004). Refernces: K. M. Borgwardt, C. S. Ong, S. Schoenauer, S. V. N. Vishwanathan, A. J. Smola, and H. P. Kriegel. Protein function prediction via graph kernels. Bioinformatics, 21(Suppl 1):i47–i56, Jun 2005. I. Schomburg, A. Chang, C. Ebeling, M. Gremse, C. Heldt, G. Huhn, and D. Schomburg. Brenda, the enzyme database: updates and major new developments. Nucleic Acids Research, 32D:431–433, 2010"
exact_026,planted_rand_tree_30+30e.gr,30,59,0.3,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
