heur filename,filename,|V|,|E|,size [kB],heur depth,type,origin,description
heur_001,expander-margulis_100.gr,100,340,2.0,45.0,generated,Python networkx package,A  Margulis-Gabber-Galil undirected graph (8-regular expander with multiple edges removed) on n^2 nodes. Generated using margulis_gabber_galil_graph from Python’s networkx package
heur_002,HallJankoGraph.gr,100,1800,10.3,83.0,named,https://github.com/freetdi/named-graphs,"Hall-Janko graph, see https://en.wikipedia.org/wiki/Hall%E2%80%93Janko_graph"
heur_003,planted_weighted_cycle_23_4+46v+46e.gr,105,312,1.8,14.0,planted,PACE 2020,A cycle of cliques of random cycles with some added random edges that go bottom-up the optimal treedepth decomposition
heur_004,polbooks_105.gr,105,441,3.2,24.0,social,http://www-personal.umich.edu/~mejn/netdata/,"Books about US politics: A network of books about US politics published around the time of the 2004 presidential election and sold by the online bookseller Amazon.com. Edges between books represent frequent copurchasing of books by the same buyers. The network was compiled by V. Krebs and is unpublished, but can found on Krebs' web site. Thanks to Valdis Krebs for permission to post these data on this web site."
heur_005,aves-songbird-social.gr,111,1029,6.0,38.0,social,http://networkrepository.com/,"an animal social network. A machine learning algorithm was applied to identify clusters of detections on feeders. Next, the network was generated based on patterns of co-occurrence by individuals in the same feeding events. Asociations between birds were defined using the simple ratio index. From: Adelman, James S., et al. ""Feeder use predicts both acquisition and transmission of a contagious pathogen in a North American songbird."" Proc. R. Soc. B. Vol. 282. No. 1815. The Royal Society, 2015."
heur_006,adjnoun_112.gr,112,425,3.0,35.0,social,http://www-personal.umich.edu/~mejn/netdata/,Adjacency network of common adjectives and nouns in the novel David Copperfield by Charles Dickens.
heur_007,Oleszno_Poland.gr,114,143,0.9,12.0,infrastructure,Open street maps,Oleszno (Poland): a road network downloaded from open street maps using osmnx Python package
heur_008,football_115.gr,115,613,4.5,49.0,social,http://www-personal.umich.edu/~mejn/netdata/,"American College football: network of American football games between Division IA colleges during regular season Fall 2000. Please cite M. Girvan and M. E. J. Newman, Proc. Natl. Acad. Sci. USA 99, 7821-7826 (2002)."
heur_009,BubbleSortGraph_5.gr,120,240,1.5,34.0,named,https://github.com/freetdi/named-graphs,Bubble sort graph for 5-permutations
heur_010,planted_rand_tree_120+360e.gr,120,479,2.9,7.0,planted,PACE 2020,A random tree with some added random edges that go bottom-up the optimal treedepth decomposition
heur_011,ENZYMES_g296.gr,125,141,1.1,11.0,biology,http://networkrepository.com/,"ENZYMES is a dataset of protein tertiary structures obtained from (Borgwardt et al., 2005)  consisting of 600 enzymes from the BRENDA enzyme database (Schomburg et al., 2004). Refernces: K. M. Borgwardt, C. S. Ong, S. Schoenauer, S. V. N. Vishwanathan, A. J. Smola, and H. P. Kriegel. Protein function prediction via graph kernels. Bioinformatics, 21(Suppl 1):i47–i56, Jun 2005. I. Schomburg, A. Chang, C. Ebeling, M. Gremse, C. Heldt, G. Huhn, and D. Schomburg. Brenda, the enzyme database: updates and major new developments. Nucleic Acids Research, 32D:431–433, 2009"
heur_012,RodriguezJorge_Merged_TCR_TLR5_Signalling_BooleanModel_15Jul2018.gr,128,266,1.7,20.0,biology,http://ginsim.org/models_repository,"This is a gene regulatory network where the nodes are genes or cell states and edges correspond to regulatory interactions between pairs of genes or states, for example, if one gene is upregulated and reaches a certain level of activation, then another gene is upregulated as well. This network contains genes involved in the T cell receptor (TCR) signalling pathway and the Toll-like receptor (TLR5) signalling pathway. Reference: Rodr\'iguez-Jorge, Otoniel, Kempis-Calanis, Linda A., Abou-Jaoud\'e, Wassim, Guti\'errez-Reyna, Darely Y., Hernandez, C\'eline, Ramirez-Pliego, Oscar, Thomas-Chollier, Morgane, … (2019). Cooperation between t cell receptor and toll-like receptor 5 signaling for cd4+ t cell activation. Science Signaling, 12(577). http://dx.doi.org/10.1126/scisignal.aar3641"
heur_013,anna.gr,138,493,3.2,19.0,social,Stanford Graph Base,Anna Karenina graph from  Stanford Graph Base
heur_014,mulsol.i.1.gr,138,3925,23.9,55.0,computer science,http://archive.dimacs.rutgers.edu/pub/challenge/graph/benchmarks/color/,Problem based on register allocation for variables in real codes. Used in DIMACS Coloring Challenge 1992-1993. Contributor: Gary Lewandowski
heur_015,aves-wildbird-network-5.gr,145,2512,15.0,60.0,social,http://networkrepository.com/,"an animal social network. Groups were defined as individuals detected on the same nest-box during the same day, and co-memberships represented individuals that overlapped in nest-box exploration patterns during the same day. Networks were calculated from these group-by-individual matrices using the halfweight index. Each network represents social data collected for consecutive 6-day time window. From: Firth, Josh A., and Ben C. Sheldon. ""Experimental manipulation of avian social structure reveals segregation is carried over across contexts."" Proceedings of the Royal Society of London B: Biological Sciences 282.1802 (2015): 20142350."
